Landtagswahl JJJJ; Wahldatum: JJJJ-MM-TT; Stand: 03.07.2023 13:15:10
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;SPD Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FDP Wahlkreisstimmen;AfD Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;NPD Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Graue Panther Wahlkreisstimmen;BüSo Wahlkreisstimmen;AD-Demokraten Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;BGE Wahlkreisstimmen;DIE VIOLETTEN Wahlkreisstimmen;LKR Wahlkreisstimmen;MENSCHLICHE WELT Wahlkreisstimmen;Die Humanisten Wahlkreisstimmen;Gesundheitsforschung Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;APPD (WK 13) Wahlkreisstimmen;DiB (WK 3) Wahlkreisstimmen;NEV (WK 44) Wahlkreisstimmen;ÖkoLinX He (WK 22) Wahlkreisstimmen;CDU Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);NPD Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Graue Panther Wahlkreisstimmen (%);BüSo Wahlkreisstimmen (%);AD-Demokraten Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);BGE Wahlkreisstimmen (%);DIE VIOLETTEN Wahlkreisstimmen (%);LKR Wahlkreisstimmen (%);MENSCHLICHE WELT Wahlkreisstimmen (%);Die Humanisten Wahlkreisstimmen (%);Gesundheitsforschung Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);APPD (WK 13) Wahlkreisstimmen (%);DiB (WK 3) Wahlkreisstimmen (%);NEV (WK 44) Wahlkreisstimmen (%);ÖkoLinX He (WK 22) Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;SPD Landesstimmen;GRÜNE Landesstimmen;DIE LINKE Landesstimmen;FDP Landesstimmen;AfD Landesstimmen;PIRATEN Landesstimmen;FREIE WÄHLER Landesstimmen;NPD Landesstimmen;Die PARTEI Landesstimmen;ÖDP Landesstimmen;Graue Panther Landesstimmen;BüSo Landesstimmen;AD-Demokraten Landesstimmen;Bündnis C Landesstimmen;BGE Landesstimmen;DIE VIOLETTEN Landesstimmen;LKR Landesstimmen;MENSCHLICHE WELT Landesstimmen;Die Humanisten Landesstimmen;Gesundheitsforschung Landesstimmen;Tierschutzpartei Landesstimmen;V-Partei³ Landesstimmen;APPD (WK 13) Landesstimmen;DiB (WK 3) Landesstimmen;NEV (WK 44) Landesstimmen;ÖkoLinX He (WK 22) Landesstimmen;CDU Landesstimmen (%);SPD Landesstimmen (%);GRÜNE Landesstimmen (%);DIE LINKE Landesstimmen (%);FDP Landesstimmen (%);AfD Landesstimmen (%);PIRATEN Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);NPD Landesstimmen (%);Die PARTEI Landesstimmen (%);ÖDP Landesstimmen (%);Graue Panther Landesstimmen (%);BüSo Landesstimmen (%);AD-Demokraten Landesstimmen (%);Bündnis C Landesstimmen (%);BGE Landesstimmen (%);DIE VIOLETTEN Landesstimmen (%);LKR Landesstimmen (%);MENSCHLICHE WELT Landesstimmen (%);Die Humanisten Landesstimmen (%);Gesundheitsforschung Landesstimmen (%);Tierschutzpartei Landesstimmen (%);V-Partei³ Landesstimmen (%);APPD (WK 13) Landesstimmen (%);DiB (WK 3) Landesstimmen (%);NEV (WK 44) Landesstimmen (%);ÖkoLinX He (WK 22) Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
01000000000;"Rotenburg";"WK";;"";60446;50889;9557;0;41248;9118;68,2;2;1208;40040;2,9;97,1;12670;12239;3691;1646;2022;5568;;2204;;;;;;;;;;;;;;;;;;;;31,6;30,6;9,2;4,1;5,0;13,9;;5,5;;;;;;;;;;;;;;;;;;;;1212;40036;2,9;97,1;10837;11240;5113;1781;2242;5912;122;1833;108;155;64;44;2;19;58;29;16;7;15;6;60;333;40;;;;;27,1;28,1;12,8;4,4;5,6;14,8;0,3;4,6;0,3;0,4;0,2;0,1;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,1;0,8;0,1;;;;;"Arnoldt";"Lena";"";"CDU";165;165;2022-10-04 10:35:19;1;;"";
01100000000;"Hersfeld";"WK";;"";60235;49713;10522;0;40056;9967;66,5;2;1066;38990;2,7;97,3;10201;11902;4410;1446;2562;6478;;1991;;;;;;;;;;;;;;;;;;;;26,2;30,5;11,3;3,7;6,6;16,6;;5,1;;;;;;;;;;;;;;;;;;;;975;39081;2,4;97,6;10218;10056;4923;1712;2656;6771;106;1625;145;172;65;36;4;23;48;41;25;11;28;14;56;314;32;;;;;26,1;25,7;12,6;4,4;6,8;17,3;0,3;4,2;0,4;0,4;0,2;0,1;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,0;0,1;0,8;0,1;;;;;"Warnecke";"Torsten";"";"SPD";151;151;2022-10-04 10:35:19;1;;"";
01200000000;"Marburg-Biedenkopf I";"WK";;"";85171;73463;11708;0;58229;11006;68,4;2;1382;56847;2,4;97,6;19946;15625;6451;3193;3093;8065;;;;;474;;;;;;;;;;;;;;;;;35,1;27,5;11,3;5,6;5,4;14,2;;;;;0,8;;;;;;;;;;;;;;;;;1162;57067;2,0;98,0;16112;13643;8442;3440;3562;8364;187;1584;86;241;236;81;15;62;130;47;36;21;33;45;87;555;58;;;;;28,2;23,9;14,8;6,0;6,2;14,7;0,3;2,8;0,2;0,4;0,4;0,1;0,0;0,1;0,2;0,1;0,1;0,0;0,1;0,1;0,2;1,0;0,1;;;;;"Schäfer";"Thomas";"Dr.";"CDU";171;171;2022-10-04 10:35:19;1;;"";
01300000000;"Marburg-Biedenkopf II";"WK";;"";96283;80351;15932;0;65962;14912;68,5;2;1327;64635;2,0;98,0;18540;16336;11607;6337;3427;6762;574;;;606;352;;;;;;;;;;;;;94;;;;28,7;25,3;18,0;9,8;5,3;10,5;0,9;;;0,9;0,5;;;;;;;;;;;;;0,1;;;;1076;64886;1,6;98,4;16314;13384;13682;6751;3938;7372;359;1105;103;478;264;88;7;51;79;88;29;25;50;109;69;453;88;;;;;25,1;20,6;21,1;10,4;6,1;11,4;0,6;1,7;0,2;0,7;0,4;0,1;0,0;0,1;0,1;0,1;0,0;0,0;0,1;0,2;0,1;0,7;0,1;;;;;"Bamberger";"Dirk";"";"CDU";159;159;2022-10-04 10:35:19;1;;"";
01400000000;"Fulda I";"WK";;"";78232;66704;11528;0;51375;10772;65,7;2;1067;50308;2,1;97,9;21115;5905;7548;2033;3477;7993;;1597;;640;;;;;;;;;;;;;;;;;;42,0;11,7;15,0;4,0;6,9;15,9;;3,2;;1,3;;;;;;;;;;;;;;;;;;1042;50333;2,0;98,0;18379;5903;8090;2298;3996;8431;154;1323;101;390;195;68;5;128;173;62;26;30;33;41;64;369;74;;;;;36,5;11,7;16,1;4,6;7,9;16,8;0,3;2,6;0,2;0,8;0,4;0,1;0,0;0,3;0,3;0,1;0,1;0,1;0,1;0,1;0,1;0,7;0,1;;;;;"Hering";"Thomas";"";"CDU";142;142;2022-10-04 10:35:19;1;;"";
01500000000;"Fulda II";"WK";;"";85109;71816;13293;0;61897;12630;72,7;2;1314;60583;2,1;97,9;24978;7941;7878;2347;4302;10266;;2871;;;;;;;;;;;;;;;;;;;;41,2;13,1;13,0;3,9;7,1;16,9;;4,7;;;;;;;;;;;;;;;;;;;;1244;60653;2,0;98,0;22522;7523;8917;2124;4550;11016;185;2121;159;331;163;106;2;31;75;61;42;30;24;38;75;498;60;;;;;37,1;12,4;14,7;3,5;7,5;18,2;0,3;3,5;0,3;0,5;0,3;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,0;0,1;0,1;0,8;0,1;;;;;"Meysner";"Markus";"";"CDU";177;177;2022-10-04 10:35:19;1;;"";
01600000000;"Lahn-Dill I";"WK";;"";91206;81161;10045;0;54673;9321;59,9;2;1605;53068;2,9;97,1;18728;11954;6711;2232;4287;8376;;;;;780;;;;;;;;;;;;;;;;;35,3;22,5;12,6;4,2;8,1;15,8;;;;;1,5;;;;;;;;;;;;;;;;;1141;53532;2,1;97,9;17799;10822;6874;2201;3393;8567;179;1518;243;402;396;65;4;125;236;32;46;17;23;33;41;459;57;;;;;33,2;20,2;12,8;4,1;6,3;16,0;0,3;2,8;0,5;0,8;0,7;0,1;0,0;0,2;0,4;0,1;0,1;0,0;0,0;0,1;0,1;0,9;0,1;;;;;"Müller";"Jörg Michael";"";"CDU";132;132;2022-10-04 10:35:19;1;;"";
01700000000;"Lahn-Dill II";"WK";;"";98085;83508;14575;2;61638;13619;62,8;2;1488;60150;2,4;97,6;17448;14119;9304;2575;4176;9044;;2558;;926;;;;;;;;;;;;;;;;;;29,0;23,5;15,5;4,3;6,9;15,0;;4,3;;1,5;;;;;;;;;;;;;;;;;;1278;60360;2,1;97,9;16858;12938;10030;3011;3974;9167;188;2099;219;626;121;84;10;71;106;52;46;22;20;41;71;559;47;;;;;27,9;21,4;16,6;5,0;6,6;15,2;0,3;3,5;0,4;1,0;0,2;0,1;0,0;0,1;0,2;0,1;0,1;0,0;0,0;0,1;0,1;0,9;0,1;;;;;"Steinraths";"Frank";"";"CDU";122;122;2022-10-04 10:35:19;1;;"";
01800000000;"Gießen I";"WK";;"";97045;79138;17907;0;66200;16823;68,2;2;1278;64922;1,9;98,1;15850;16818;13186;5060;3364;7108;;2458;;1078;;;;;;;;;;;;;;;;;;24,4;25,9;20,3;7,8;5,2;10,9;;3,8;;1,7;;;;;;;;;;;;;;;;;;1089;65111;1,6;98,4;15538;13419;14438;5736;3948;7251;311;1858;113;686;355;114;11;68;121;73;47;24;37;123;84;617;139;;;;;23,9;20,6;22,2;8,8;6,1;11,1;0,5;2,9;0,2;1,1;0,5;0,2;0,0;0,1;0,2;0,1;0,1;0,0;0,1;0,2;0,1;0,9;0,2;;;;;"Becher";"Frank-Tilo";"";"SPD";112;112;2022-10-04 10:35:19;1;;"";
01900000000;"Gießen II";"WK";;"";93975;77810;16165;0;66118;15222;70,4;2;1242;64876;1,9;98,1;21946;17245;7701;2528;3392;8836;;3228;;;;;;;;;;;;;;;;;;;;33,8;26,6;11,9;3,9;5,2;13,6;;5,0;;;;;;;;;;;;;;;;;;;;1447;64671;2,2;97,8;18323;14029;10763;3123;4061;9273;218;2965;174;447;113;89;13;33;85;51;34;19;39;57;85;597;80;;;;;28,3;21,7;16,6;4,8;6,3;14,3;0,3;4,6;0,3;0,7;0,2;0,1;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;0,9;0,1;;;;;"Bouffier";"Volker";"";"CDU";129;129;2022-10-04 10:35:19;1;;"";
02000000000;"Vogelsberg";"WK";;"";92084;78505;13579;0;63128;12733;68,6;2;1775;61353;2,8;97,2;18610;15755;8017;2757;3825;9378;;3011;;;;;;;;;;;;;;;;;;;;30,3;25,7;13,1;4,5;6,2;15,3;;4,9;;;;;;;;;;;;;;;;;;;;1516;61612;2,4;97,6;17205;14055;8656;3031;4248;9856;172;2534;270;295;165;91;12;43;89;61;44;20;39;43;89;537;57;;;;;27,9;22,8;14,0;4,9;6,9;16,0;0,3;4,1;0,4;0,5;0,3;0,1;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;0,9;0,1;;;;;"Ruhl";"Michael";"";"CDU";232;232;2022-10-04 10:35:19;1;;"";
02100000000;"Limburg-Weilburg I";"WK";;"";64164;51466;12698;0;41090;11630;64,0;2;1248;39842;3,0;97,0;13676;7755;5106;1362;3958;5212;;2366;;407;;;;;;;;;;;;;;;;;;34,3;19,5;12,8;3,4;9,9;13,1;;5,9;;1,0;;;;;;;;;;;;;;;;;;1059;40031;2,6;97,4;13472;6792;6282;1564;3569;5641;89;1550;82;283;47;57;2;29;28;42;23;16;14;28;41;328;52;;;;;33,7;17,0;15,7;3,9;8,9;14,1;0,2;3,9;0,2;0,7;0,1;0,1;0,0;0,1;0,1;0,1;0,1;0,0;0,0;0,1;0,1;0,8;0,1;;;;;"Veyhelmann";"Joachim";"";"CDU";83;83;2022-10-04 10:35:19;1;;"";
02200000000;"Limburg-Weilburg II";"WK";;"";64197;51754;12443;0;42256;10497;65,8;2;1174;41082;2,8;97,2;12820;11436;4859;1513;2871;5614;;1923;;;;;;;;;;;;;;;;;;;46;31,2;27,8;11,8;3,7;7,0;13,7;;4,7;;;;;;;;;;;;;;;;;;;0,1;1127;41129;2,7;97,3;12399;8975;6234;1716;2986;5847;127;1659;87;246;46;67;3;18;59;37;45;14;23;27;67;419;28;;;;;30,1;21,8;15,2;4,2;7,3;14,2;0,3;4,0;0,2;0,6;0,1;0,2;0,0;0,0;0,1;0,1;0,1;0,0;0,1;0,1;0,2;1,0;0,1;;;;;"Hofmeister";"Andreas";"";"CDU";105;105;2022-10-04 10:35:19;1;;"";
02300000000;"Hochtaunus I";"WK";;"";85720;67862;17858;0;61255;16582;71,5;2;1141;60114;1,9;98,1;22495;9518;12473;2858;5389;6723;658;;;;;;;;;;;;;;;;;;;;;37,4;15,8;20,7;4,8;9,0;11,2;1,1;;;;;;;;;;;;;;;;;;;;;952;60303;1,6;98,4;19602;8687;13096;2893;5890;6997;288;1243;80;287;114;72;12;32;64;67;53;31;29;49;75;562;80;;;;;32,5;14,4;21,7;4,8;9,8;11,6;0,5;2,1;0,1;0,5;0,2;0,1;0,0;0,1;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,9;0,1;;;;;"Bellino";"Holger";"";"CDU";107;107;2022-10-04 10:35:19;1;;"";
02400000000;"Hochtaunus II";"WK";;"";77298;60149;17149;0;57196;16224;74,0;2;982;56214;1,7;98,3;18815;8451;12147;2086;8057;5689;498;;;;;;;;;;;;;;;471;;;;;;33,5;15,0;21,6;3,7;14,3;10,1;0,9;;;;;;;;;;;;;;;0,8;;;;;;802;56394;1,4;98,6;17917;7878;12875;2486;6572;5932;212;1101;64;227;95;75;7;18;39;50;51;30;31;69;49;545;71;;;;;31,8;14,0;22,8;4,4;11,7;10,5;0,4;2,0;0,1;0,4;0,2;0,1;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;1,0;0,1;;;;;"Banzer";"Jürgen";"";"CDU";101;101;2022-10-04 10:35:19;1;;"";
